JuegoNorm,Año,PremiosUSD,Torneos
forza motorsport 7,2020,199000.0,3
forza motorsport 7,2021,22500.0,1
free fire,2019,825242.47,15
free fire,2020,2539917.95,20
free fire,2021,5009058.9399999995,24
free fire,2022,6197813.57,25
free fire,2023,1955059.21,6
free fire,2024,1614900.0,5
garou: mark of the wolves,2018,108.71,1
garou: mark of the wolves,2019,225.0,1
garou: mark of the wolves,2020,325.0,2
gears 5,2019,562000.0,10
gears 5,2020,1381500.0,54
gears 5,2021,365420.0,34
gears 5,2022,12000.0,14
gears of war 4,2016,501285.0,16
gears of war 4,2017,1094500.0,77
gears of war 4,2018,1040000.0,43
gears of war 4,2019,507000.0,16
gears of war: ultimate edition,2016,170000.0,3
geoguessr,2022,24653.5,1
geoguessr,2023,50000.0,1
goals,2024,1841.26,1
golf plus,2020,5000.0,1
golf with your friends,2021,19400.0,2
gran turismo 7,2022,10584.8,3
gran turismo 7,2023,158.05,1
gran turismo sport,2018,10080.0,1
gran turismo sport,2019,14100.0,3
gran turismo sport,2020,13831.0,4
gran turismo sport,2021,23511.559999999998,17
granblue fantasy versus: rising,2024,154742.8,22
granblue fantasy: versus,2020,106280.94,43
granblue fantasy: versus,2021,54362.380000000005,29
granblue fantasy: versus,2022,13092.56,10
granblue fantasy: versus,2023,31700.0,5
grey goo,2016,30400.0,2
grid (2019),2019,218.75,1
guild wars 2,2016,300000.0,4
guilty gear,2019,32.0,1
guilty gear -strive-,2021,147705.62,41
guilty gear -strive-,2022,135626.11000000002,31
guilty gear -strive-,2023,214627.42,23
guilty gear -strive-,2024,196889.69,21
guilty gear xrd -revelator-,2016,28899.489999999998,11
guilty gear xrd -revelator-,2017,7537.94,8
guilty gear xrd -sign-,2016,7110.0,9
guilty gear xrd -sign-,2024,620.0,1
guilty gear xrd rev 2,2017,30360.0,11
guilty gear xrd rev 2,2018,31757.64,14
guilty gear xrd rev 2,2019,61006.369999999995,25
guilty gear xrd rev 2,2020,7134.0,6
guilty gear xrd rev 2,2021,218.36,2
guilty gear xrd rev 2,2022,5122.93,4
guilty gear xrd rev 2,2023,6782.8,2
guilty gear xrd rev 2,2024,3470.0,3
guilty gear xx accent core plus r,2016,870.0,2
guilty gear xx accent core plus r,2017,660.0,2
guilty gear xx accent core plus r,2018,930.0,3
guilty gear xx accent core plus r,2019,1220.0,3
guilty gear xx accent core plus r,2020,3576.91,5
guilty gear xx accent core plus r,2021,5985.23,5
guilty gear xx accent core plus r,2022,900.0,1
guilty gear xx accent core plus r,2023,2578.55,1
guilty gear xx accent core plus r,2024,3400.21,4
gundam versus,2017,280.0,1
guns of boom,2018,133950.0,11
guns of boom,2019,64800.0,7
gwent,2017,303188.98,91
gwent,2018,441568.19,15
gwent,2019,25000.0,1
gwent,2020,186720.0,5
gwent,2021,394165.0,6
gwent,2022,154555.0,4
gym masters vr,2021,500.0,1
h1z1,2016,267244.0,2
h1z1,2017,1251550.0,8
h1z1,2018,75000.0,1
halo 2,2021,137400.0,3
halo 3,2018,800.0,1
halo 3,2019,335200.0,9
halo 3,2021,150000.0,1
halo 5: guardians,2016,3412490.03,36
halo 5: guardians,2017,1748000.0,14
halo 5: guardians,2018,1933750.0,50
halo 5: guardians,2021,34000.0,2
halo infinite,2021,451000.0,11
halo infinite,2022,2497155.0,22
halo infinite,2023,2079304.05,20
halo infinite,2024,2001095.98,6
halo: reach,2019,50000.0,1
halo: reach,2020,50000.0,1
hand of the gods,2017,44400.0,34
hand of the gods,2018,50000.0,1
hand of the gods,2019,34.2,1
hearthstone,2016,3485977.29,143
hearthstone,2017,3491311.44,132
hearthstone,2018,4757534.75,154
hearthstone,2019,4519884.63,110
hearthstone,2020,4634414.54,64
hearthstone,2021,3052468.1100000003,72
hearthstone,2022,2644169.12,41
hearthstone,2023,504058.11,7
hearthstone,2024,121712.41,7
hearthstone battlegrounds,2019,300000.0,1
hearthstone battlegrounds,2020,479786.94,8
hearthstone battlegrounds,2021,161472.38,9
hearthstone battlegrounds,2022,563090.02,16
hearthstone battlegrounds,2023,204547.12,11
hearthstone battlegrounds,2024,46683.07000000001,6
heavy metal machines,2017,12339.33,1
heroes of newerth,2016,246433.55,24
heroes of newerth,2017,192966.04,11
heroes of newerth,2018,82195.0,4
heroes of the storm,2016,4664349.1,69
heroes of the storm,2017,5444449.54,41
heroes of the storm,2018,5277279.76,34
heroes of the storm,2019,316914.92,29
heroes of the storm,2020,24988.690000000002,7
heroes of the storm,2021,110294.0,6
heroes of the storm,2022,143720.0,8
heroes of the storm,2023,11496.19,4
hokuto no ken,2019,145.0,1
hyper scape,2020,299000.0,4
hyperfight,2020,50.0,1
hyperfight,2021,90.0,1
identity v,2018,55489.27,1
identity v,2019,194456.87,2
identity v,2020,679718.3200000001,5
identity v,2021,1196560.89,6
identity v,2022,1447414.99,7
identity v,2023,1387670.58,6
identity v,2024,835220.0,2
idol showdown,2024,188.0,1
injustice 2,2017,675188.93,21
injustice 2,2018,160648.22999999998,13
injustice 2,2019,1610.0,4
injustice: gods among us,2016,500.0,1
internet chess club,2020,10000.0,1
iracing.com,2016,47319.88,8
iracing.com,2017,50889.99,10
iracing.com,2018,143340.3,18
iracing.com,2019,399642.94,23
iracing.com,2020,684078.65,37
iracing.com,2021,905074.0,44
iracing.com,2022,626253.6,24
iracing.com,2023,489142.0,7
iracing.com,2024,200000.0,1
jak and daxter: the precursur legacy,2021,500.0,1
jak ii,2022,0.0,1
jojo's bizarre adventure: all star battle r,2022,780.0,1
jojo's bizarre adventure: heritage for the future,2020,284.99,2
jojo's bizarre adventure: heritage for the future,2021,40.0,1
jstris,2020,225.0,1
jstris,2021,50.0,1
kartrider,2016,144234.0,3
kartrider,2017,76160.35,2
kill la kill the game: if,2019,700.0,2
kill la kill the game: if,2020,220.0,2
killer instinct (2013),2016,55479.59,12
killer instinct (2013),2017,44040.0,8
killer instinct (2013),2018,32770.0,4
killer instinct (2013),2019,1500.0,3
killer instinct (2013),2020,50.0,1
killer instinct (2013),2021,520.0,3
killer instinct (2013),2022,1336.58,1
killer instinct (2013),2024,26870.0,2
king of fighters 2002 unlimited match,2016,380.0,1
king of fighters 2002 unlimited match,2020,380.0,1
king of fighters 98,2019,7945.57,3
king of fighters xiii,2016,834.57,3
king of fighters xiii,2020,480.0,1
king of fighters xiv,2016,5318.49,4
king of fighters xiv,2017,25178.17,17
king of fighters xiv,2018,19669.23,7
king of fighters xiv,2019,32365.699999999997,10
king of fighters xiv,2020,1270.0,3
king of fighters xv,2022,75689.51,28
king of fighters xv,2023,60251.54,10
king of fighters xv,2024,232672.09000000003,13
kirby fighters 2,2020,222.86,1
koihime enbu,2016,250.0,1
koihime enbu,2017,190.0,1
koihime enbu,2018,590.0,1
koihime enbu,2019,585.0,2
koihime enbu,2020,50.0,1
koihime enbu,2021,100.0,1
league of legends: wild rift,2021,2481372.3499999996,58
league of legends: wild rift,2022,13719403.67,129
league of legends: wild rift,2023,1613394.36,9
league of legends: wild rift,2024,1668003.7,7
legends of runeterra,2020,147491.03,20
legends of runeterra,2021,364600.0,11
legends of runeterra,2022,206000.0,2
lemnis gate,2021,564.7,4
lemnis gate,2022,1000.0,1
lethal league blaze,2018,11.4,1
lethal league blaze,2019,2422.5,6
lethal league blaze,2020,2910.02,4
lethal league blaze,2021,300.0,1
lichess,2017,1100.0,2
lichess,2018,15325.0,10
lichess,2019,13600.0,23
lichess,2020,1140686.93,64
lichess,2021,39750.0,37
lichess,2022,75867.98,27
lichess,2023,21776.1,20
live for speed,2020,2614.0,2
loco dojo unleashed,2022,1000.0,1
lol,2016,10519032.01,182
lol,2017,12261870.43,193
lol,2018,14689124.989999998,195
lol,2019,10412069.35,210
lol,2020,8767906.04,123
lol,2021,8421299.16,110
lol,2022,8219427.9799999995,102
lol,2023,7730434.4,115
lol,2024,5655026.93,67
mad skills motocross 2,2017,20163.0,1
mad skills motocross 2,2018,30000.0,1
mad skills motocross 2,2019,30000.0,1
madden nfl 16,2016,50000.0,1
madden nfl 17,2016,100000.0,1
madden nfl 17,2017,904000.0,4
madden nfl 18,2017,20676.620000000003,2
madden nfl 18,2018,403000.0,1
madden nfl 19,2018,165000.0,1
madden nfl 19,2019,1104992.0,4
madden nfl 20,2019,703000.0,1
madden nfl 20,2020,220000.0,1
madden nfl 21,2021,1280000.0,6
madden nfl 22,2021,400000.0,2
madden nfl 22,2022,1250000.0,2
madden nfl 23,2022,440000.0,2
madden nfl 23,2023,1260000.0,2
madden nfl 24,2023,575000.0,4
madden nfl 24,2024,1125000.0,2
madden nfl 25,2024,100000.0,1
magic: the gathering arena,2018,10000.0,1
magic: the gathering arena,2019,2998000.0,37
magic: the gathering arena,2020,2186000.0,12
magic: the gathering arena,2021,2000000.0,4
magic: the gathering arena,2022,1600000.0,4
magic: the gathering arena,2023,400000.0,2
magic: the gathering online,2016,104000.0,1
magic: the gathering online,2017,116000.0,1
magic: the gathering online,2018,200000.0,1
magic: the gathering online,2019,200000.0,1
magic: the gathering online,2020,250000.0,1
magic: the gathering online,2022,140000.0,2
magic: the gathering online,2023,210000.0,3
magical drop iii,2020,130.0,1
maiden & spell,2020,200.0,1
maiden & spell,2021,125.0,1
mario kart 8 deluxe,2018,220.0,1
mario kart 8 deluxe,2019,279.44,2
mario kart 8 deluxe,2020,1305.0,2
mario kart 8 deluxe,2021,1700.0,2
mario kart 8 deluxe,2022,1500.0,2
mario kart 8 deluxe,2023,9650.0,1
mario tennis aces,2019,51.3,1
mario tennis aces,2020,10.0,1
marvel vs. capcom 2,2016,100.0,1
marvel vs. capcom 2,2019,420.0,1
marvel vs. capcom 2,2020,10.0,1
marvel vs. capcom 2,2022,219.73,1
marvel vs. capcom 3,2016,199.29,1
marvel vs. capcom: infinite,2017,67750.0,6
marvel vs. capcom: infinite,2018,5952.12,9
marvel vs. capcom: infinite,2019,2010.0,5
marvel vs. capcom: infinite,2020,544.6,2
mechwarrior online,2016,143490.0,1
melty blood: actress again current code,2016,700.0,1
melty blood: actress again current code,2017,810.0,2
melty blood: actress again current code,2018,1630.0,4
melty blood: actress again current code,2019,2605.0,5
melty blood: actress again current code,2020,3784.9300000000003,10
melty blood: actress again current code,2021,1250.0,1
melty blood: actress again current code,2022,650.0,1
melty blood: actress again current code,2024,1507.51,1
melty blood: type lumina,2021,2004.59,1
melty blood: type lumina,2022,13357.9,11
melty blood: type lumina,2023,43972.1,4
melty blood: type lumina,2024,4482.639999999999,7
metal gear online,2016,8000.0,8
microsoft excel,2021,19000.0,13
microsoft excel,2022,35000.0,10
microsoft excel,2023,60400.0,20
mighty fight federation,2021,100.0,1
million arthur: arcana blood,2019,7530.0,3
million arthur: arcana blood,2020,10.0,1
minecraft,2018,4839.15,3
minecraft,2019,159859.0,20
minecraft,2020,427700.0,17
minecraft,2021,561289.0,21
minecraft,2022,936400.0,48
minecraft,2023,397505.0,17
minecraft,2024,520467.0,16
moba legends,2016,225.0,1
mobile legends: bang bang,2017,100000.0,1
mobile legends: bang bang,2018,653205.23,9
mobile legends: bang bang,2019,1397507.01,15
mobile legends: bang bang,2020,1073666.68,13
mobile legends: bang bang,2021,2517241.2199999997,28
mobile legends: bang bang,2022,2173278.5300000003,41
mobile legends: bang bang,2023,4286794.6,41
mobile legends: bang bang,2024,4817758.6,7
mobile suit gundam: extreme vs maxi boost on,2021,420.0,2
mordhau,2019,16623.0,3
mortal kombat 1,2023,28910.47,4
mortal kombat 1,2024,315800.0,22
mortal kombat 11,2019,309234.68,37
mortal kombat 11,2020,192347.79,10
mortal kombat 11,2021,75912.63,9
mortal kombat 11,2022,8983.66,7
mortal kombat 11,2023,25000.0,1
mortal kombat 9,2018,3260.0,1
mortal kombat x,2016,330129.99,21
mortal kombat x,2019,480.0,1
mortal kombat xl,2016,100941.39,7
mortal kombat xl,2017,24002.4,7
mortal kombat xl,2018,4120.0,2
